Type,IP Address/Domain,Source
Callback Domains,ldap://205.185.115.217:47324/a,GitHub
Callback Domains,ldap://d62267ee8842.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://x${hostName}.L4J.dw2ussp6pwln61gc1nubetivr.canarytokens.com/a,GitHub
Callback Domains,:ldap://45.130.229.168:1389/Exploit,GitHub
Callback Domains,:ldap://45.83.193.150:1389/Exploit,GitHub
Callback Domains,ldap://193.3.19.159:53/c,GitHub
Callback Domains,ldap://73aa4d043a06.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://eca6e1900645.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://e48e744f3efb.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://c17dff990109.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://688f1d892ac3.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://xyzuv12x8szr9ls5um3yx9zxn.canarytokens.com/o=tomcat,GitHub
Callback Domains,ldap://2fff1c940e94.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://550f7e1deaed.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://8e37da3fcdba.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://64fbee7e40f0.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://9bf318db60de.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://9ee7c9fe.dns.1433.eu.org,GitHub
Callback Domains,ldap://8b5e31cb04bf.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://5463610592ef.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://cbac4cbd9ab7.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://37fccd21badb.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://184dcac8da3c.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://54cfec94a094.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://f4cf2a9b7dba.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://cae2a7d6dd75.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://d12436900580.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://ac47c63d0c2c.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://bc45400240ee.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://82a18741e589.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://141d39fab6f8.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://10d70081fca0.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://ac8e3c1c398d.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://258b23992ec8.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://b474ca3de9b9.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://5047e48e05ee.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://0fd6d891fea1.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://c4c3b070ea37.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://a58bc1fc518a.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://690f3230afae.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://5b36e3e5d52c.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://f288dba3b7a9.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://047f1f300c55.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://8280bbd9fc75.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://2862853fca0b.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://05a1253070c9.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://ab3419ba1f45.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://612877d3a59b.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://e2216d7a9a31.bingsearchlib.com:39356/a,GitHub
Callback Domains,ldap://91fd9fef8958.bingsearchlib.com:39356/a,GitHub
